number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
82,3.4516071439481366,0.8764892342747911,0.010889372936886762,12,25,536,83,0.16235005335128094,1.0575653027958696,0.8345002242681534,COMPLETE
83,3.4524767421505667,0.9054852220083058,0.009702535495013159,13,33,721,72,0.19229077554289617,1.1977190383304388,0.8528987053713082,COMPLETE
84,3.452101627891281,0.882531906795391,0.010127159618299325,13,28,628,75,0.1858989183996584,1.1188730305871295,0.7944942310689035,COMPLETE
85,3.4551374550734666,0.8911530537238217,0.012755521640334869,14,32,804,68,0.09311290009737976,1.268490094128165,0.84560861715908,COMPLETE
86,3.45992746568835,0.7002657474720675,0.01133258477724882,9,31,687,77,0.17667593930110587,0.989079105229272,0.8265186559285803,COMPLETE
87,3.4542040721608642,0.8407905006722997,0.009296836718826676,11,30,584,82,0.1828571518133629,1.4030899507797092,0.8116260613978401,COMPLETE
88,3.465821005504167,0.8551516000542343,0.01930857235271962,12,35,763,80,0.1568592647467162,0.9255041936563403,0.9542630391659479,COMPLETE
89,3.4538368187614124,0.871675838814601,0.010855283102307276,12,26,546,70,0.19515198148894233,1.1630836999623941,0.8629409071631772,COMPLETE
90,3.4518362903777473,0.9189741521449243,0.009925752348848377,9,34,710,66,0.16937001384697348,1.3249315179669086,0.712019921031605,COMPLETE
91,3.450761523599052,0.8629754692291467,0.010293136295338722,13,30,588,81,0.19105441918871968,0.9941942384516437,0.8257773786831828,COMPLETE
92,3.451141650589321,0.8647100069874792,0.009604180952690488,13,32,646,76,0.18364432064594644,0.5810716884755593,0.8291806004320412,COMPLETE
93,3.4512992821986073,0.8732496264220692,0.01029837049294219,13,29,617,84,0.18878067187563355,1.0536466053500197,0.8097144654484111,COMPLETE
94,3.452710184845607,0.8530115341743497,0.011211328208142187,14,27,669,78,0.17835689055271117,0.8376204206843926,0.8453813053069517,COMPLETE
95,3.4592684566260887,0.8923278070157898,0.011731957223717815,8,31,742,90,0.18968433303806467,0.9441520663373101,0.818405743417579,COMPLETE
96,3.451441388040151,0.8799671697733737,0.010578397273967739,12,30,784,86,0.1966951563123046,1.107827872036563,0.9898349273884329,COMPLETE
97,3.464453713864318,0.8304027628528449,0.009123167317924657,13,29,528,56,0.1735786416273806,1.2240238142517863,0.9751877307834563,COMPLETE
98,3.4533382813227744,0.8641484250122689,0.015174712594274102,15,32,591,72,0.16468675121815096,1.19058769558027,0.788699960252065,COMPLETE
99,3.451345095687347,0.9017716597847766,0.009962177037879171,11,34,701,74,0.1826753396116072,0.4172157764244807,0.800350836475233,COMPLETE
